treatment,num_flyers,qr_scanned,seconds_to_cap,group,time,date,day_of_week,quote_used,extra_qr,extra_num_flyers
1,10,1,280,0,12:20,10/17,Thursday,0.466666666666667,2.14285714285714,21.4285714285714
0,10,1,283,0,12:35,10/17,Thursday,0.471666666666667,2.12014134275618,21.2014134275618
1,10,0,390,0,12:50,10/17,Thursday,0.65,0,15.3846153846154
0,10,1,410,0,13:02,10/17,Thursday,0.683333333333333,1.46341463414634,14.6341463414634
1,10,2,435,0,13:15,10/17,Thursday,0.725,2.75862068965517,13.7931034482759
0,10,0,490,0,13:30,10/17,Thursday,0.816666666666667,0,12.2448979591837
0,10,0,472,1,12:20,10/17,Thursday,0.786666666666667,0,12.7118644067797
1,10,2,382,1,12:35,10/17,Thursday,0.636666666666667,3.1413612565445,15.7068062827225
0,10,3,202,1,12:50,10/17,Thursday,0.336666666666667,8.91089108910891,29.7029702970297
1,10,0,305,1,13:02,10/17,Thursday,0.508333333333333,0,19.672131147541
0,10,2,516,1,13:15,10/17,Thursday,0.86,2.32558139534884,11.6279069767442
1,10,2,517,1,13:30,10/17,Thursday,0.861666666666667,2.321083172147,11.605415860735
