session_starts,treatment,team,handed_out,passed_by,session_within_session,success_rate
67.0,1,js,1,4,1,0.25
127.0,1,js,3,9,2,0.3333333333333333
187.0,1,js,0,2,3,0.0
247.0,1,js,0,9,4,0.0
307.0,1,js,5,9,5,0.5555555555555556
367.0,1,js,5,12,6,0.4166666666666667
427.0,1,js,2,17,7,0.11764705882352941
487.0,1,js,5,11,8,0.45454545454545453
547.0,1,js,1,6,9,0.16666666666666666
607.0,0,js,0,4,0,0.0
667.0,0,js,0,16,1,0.0
727.0,0,js,5,16,2,0.3125
787.0,0,js,1,5,3,0.2
847.0,0,js,0,8,4,0.0
907.0,0,js,1,19,5,0.05263157894736842
967.0,0,js,3,16,6,0.1875
1027.0,0,js,2,15,7,0.13333333333333333
1087.0,0,js,1,7,8,0.14285714285714285
1147.0,0,js,2,20,9,0.1
1237.0,1,js,0,1,0,0.0
1297.0,1,js,1,12,1,0.08333333333333333
1357.0,1,js,3,17,2,0.17647058823529413
1417.0,1,js,3,10,3,0.3
1477.0,1,js,4,10,4,0.4
1537.0,1,js,1,10,5,0.1
1597.0,1,js,3,11,6,0.2727272727272727
1657.0,1,js,1,8,7,0.125
1717.0,1,js,6,16,8,0.375
1777.0,1,js,2,4,9,0.5
2150.0,0,js,3,11,1,0.2727272727272727
2210.0,0,js,1,13,2,0.07692307692307693
2270.0,0,js,1,14,3,0.07142857142857142
2330.0,0,js,0,11,4,0.0
2390.0,0,js,2,14,5,0.14285714285714285
2450.0,0,js,1,5,6,0.2
2510.0,0,js,2,7,7,0.2857142857142857
2570.0,0,js,2,7,8,0.2857142857142857
2630.0,0,js,4,17,9,0.23529411764705882
2800.0,1,js,2,7,1,0.2857142857142857
2860.0,1,js,2,12,2,0.16666666666666666
2920.0,1,js,6,11,3,0.5454545454545454
2980.0,1,js,3,5,4,0.6
3040.0,1,js,0,3,5,0.0
3100.0,1,js,3,7,6,0.42857142857142855
3160.0,1,js,1,3,7,0.3333333333333333
3220.0,1,js,1,3,8,0.3333333333333333
3280.0,1,js,0,5,9,0.0
3400.0,0,js,1,1,1,1.0
3460.0,0,js,3,5,2,0.6
3520.0,0,js,6,5,3,1.2
3580.0,0,js,0,4,4,0.0
3640.0,0,js,1,9,5,0.1111111111111111
3700.0,0,js,2,5,6,0.4
3760.0,0,js,1,4,7,0.25
3820.0,0,js,4,9,8,0.4444444444444444
3880.0,0,js,0,1,9,0.0
4050.0,1,js,1,8,1,0.125
4110.0,1,js,1,8,2,0.125
4170.0,1,js,2,7,3,0.2857142857142857
4230.0,1,js,1,6,4,0.16666666666666666
4290.0,1,js,3,11,5,0.2727272727272727
4350.0,1,js,3,9,6,0.3333333333333333
4410.0,1,js,2,11,7,0.18181818181818182
4470.0,1,js,2,4,8,0.5
4600.0,0,js,1,6,1,0.16666666666666666
4660.0,0,js,6,6,2,1.0
4720.0,0,js,0,6,3,0.0
4780.0,0,js,3,6,4,0.5
4840.0,0,js,3,7,5,0.42857142857142855
4900.0,0,js,2,8,6,0.25
4960.0,0,js,1,10,7,0.1
5020.0,0,js,1,5,8,0.2
5080.0,0,js,0,8,9,0.0
67.0,0,vw,0,1,1,0.0
127.0,0,vw,0,2,2,0.0
187.0,0,vw,0,2,3,0.0
427.0,0,vw,7,7,7,1.0
487.0,0,vw,3,5,8,0.6
547.0,0,vw,2,5,9,0.4
607.0,1,vw,9,11,0,0.8181818181818182
667.0,1,vw,3,5,1,0.6
727.0,1,vw,1,2,2,0.5
787.0,1,vw,6,8,3,0.75
847.0,1,vw,9,11,4,0.8181818181818182
907.0,1,vw,6,9,5,0.6666666666666666
967.0,1,vw,14,15,6,0.9333333333333333
1087.0,1,vw,3,3,8,1.0
1147.0,1,vw,12,16,9,0.75
1237.0,0,vw,4,6,0,0.6666666666666666
1297.0,0,vw,8,13,1,0.6153846153846154
1357.0,0,vw,8,10,2,0.8
1417.0,0,vw,1,1,3,1.0
1477.0,0,vw,12,13,4,0.9230769230769231
1537.0,0,vw,16,19,5,0.8421052631578947
1597.0,0,vw,4,5,6,0.8
1657.0,0,vw,4,5,7,0.8
1777.0,0,vw,0,4,9,0.0
2090.0,1,vw,4,24,0,0.16666666666666666
2150.0,1,vw,2,4,1,0.5
2210.0,1,vw,2,13,2,0.15384615384615385
2270.0,1,vw,1,10,3,0.1
2330.0,1,vw,1,10,4,0.1
2390.0,1,vw,5,13,5,0.38461538461538464
2450.0,1,vw,3,16,6,0.1875
2510.0,1,vw,3,5,7,0.6
2570.0,1,vw,0,2,8,0.0
2630.0,1,vw,2,11,9,0.18181818181818182
2740.0,0,vw,1,5,0,0.2
2800.0,0,vw,2,7,1,0.2857142857142857
2860.0,0,vw,0,2,2,0.0
2920.0,0,vw,2,13,3,0.15384615384615385
2980.0,0,vw,1,12,4,0.08333333333333333
3040.0,0,vw,1,5,5,0.2
3100.0,0,vw,1,3,6,0.3333333333333333
3160.0,0,vw,3,8,7,0.375
3220.0,0,vw,1,3,8,0.3333333333333333
3280.0,0,vw,1,9,9,0.1111111111111111
3400.0,1,vw,0,3,1,0.0
3460.0,1,vw,0,6,2,0.0
3520.0,1,vw,1,3,3,0.3333333333333333
3580.0,1,vw,1,2,4,0.5
3640.0,1,vw,3,7,5,0.42857142857142855
3700.0,1,vw,0,3,6,0.0
3760.0,1,vw,1,2,7,0.5
3820.0,1,vw,1,6,8,0.16666666666666666
3880.0,1,vw,1,7,9,0.14285714285714285
3990.0,0,vw,3,6,0,0.5
4050.0,0,vw,0,5,1,0.0
4110.0,0,vw,1,8,2,0.125
4170.0,0,vw,2,4,3,0.5
4230.0,0,vw,3,6,4,0.5
4290.0,0,vw,1,6,5,0.16666666666666666
4350.0,0,vw,3,7,6,0.42857142857142855
4410.0,0,vw,2,6,7,0.3333333333333333
4470.0,0,vw,4,7,8,0.5714285714285714
4540.0,1,vw,0,2,0,0.0
4600.0,1,vw,0,2,1,0.0
4660.0,1,vw,2,5,2,0.4
4720.0,1,vw,3,7,3,0.42857142857142855
4780.0,1,vw,2,13,4,0.15384615384615385
4840.0,1,vw,3,9,5,0.3333333333333333
4900.0,1,vw,1,10,6,0.1
4960.0,1,vw,1,8,7,0.125
5020.0,1,vw,2,9,8,0.2222222222222222
5080.0,1,vw,0,3,9,0.0
