session_starts,treatment,person,team,handed_out,passed_by,session_within_session,success_rate
30.0,0,j,js,2,7,0,0.2857142857142857
150.0,0,j,js,3,5,1,0.6
270.0,0,j,js,3,4,2,0.75
390.0,0,j,js,1,4,3,0.25
510.0,0,j,js,3,3,4,1.0
750.0,1,j,js,3,4,1,0.75
870.0,1,j,js,1,8,2,0.125
990.0,1,j,js,1,4,3,0.25
1110.0,1,j,js,6,7,4,0.8571428571428571
1230.0,0,j,js,1,1,0,1.0
1350.0,0,j,js,5,19,1,0.2631578947368421
1470.0,0,j,js,1,9,2,0.1111111111111111
1590.0,0,j,js,3,21,3,0.14285714285714285
1710.0,0,j,js,3,15,4,0.2
1950.0,1,j,js,4,14,1,0.2857142857142857
2070.0,1,j,js,5,17,2,0.29411764705882354
2190.0,1,j,js,4,13,3,0.3076923076923077
2310.0,1,j,js,2,15,4,0.13333333333333333
2430.0,0,j,js,1,6,0,0.16666666666666666
2550.0,0,j,js,1,7,1,0.14285714285714285
30.0,0,s,js,3,6,0,0.5
150.0,0,s,js,1,3,1,0.3333333333333333
270.0,0,s,js,5,8,2,0.625
390.0,0,s,js,0,5,3,0.0
510.0,0,s,js,2,2,4,1.0
630.0,1,s,js,0,1,0,0.0
750.0,1,s,js,4,7,1,0.5714285714285714
870.0,1,s,js,1,5,2,0.2
990.0,1,s,js,3,9,3,0.3333333333333333
1110.0,1,s,js,5,8,4,0.625
1350.0,0,s,js,4,17,1,0.23529411764705882
1470.0,0,s,js,4,18,2,0.2222222222222222
1590.0,0,s,js,2,8,3,0.25
1710.0,0,s,js,3,27,4,0.1111111111111111
1950.0,1,s,js,3,31,1,0.0967741935483871
2070.0,1,s,js,2,18,2,0.1111111111111111
2190.0,1,s,js,3,23,3,0.13043478260869565
2310.0,1,s,js,2,23,4,0.08695652173913043
2430.0,0,s,js,2,7,0,0.2857142857142857
30.0,1,v,vw,0,1,0,0.0
150.0,1,v,vw,1,3,1,0.3333333333333333
270.0,1,v,vw,1,2,2,0.5
390.0,1,v,vw,0,6,3,0.0
510.0,1,v,vw,1,2,4,0.5
630.0,0,v,vw,0,1,0,0.0
750.0,0,v,vw,0,3,1,0.0
870.0,0,v,vw,1,3,2,0.3333333333333333
990.0,0,v,vw,1,7,3,0.14285714285714285
1110.0,0,v,vw,1,1,4,1.0
1230.0,1,v,vw,3,4,0,0.75
1350.0,1,v,vw,1,9,1,0.1111111111111111
1470.0,1,v,vw,3,11,2,0.2727272727272727
1590.0,1,v,vw,1,19,3,0.05263157894736842
1710.0,1,v,vw,2,11,4,0.18181818181818182
1830.0,0,v,vw,0,12,0,0.0
1950.0,0,v,vw,1,17,1,0.058823529411764705
2070.0,0,v,vw,4,13,2,0.3076923076923077
2190.0,0,v,vw,6,15,3,0.4
2310.0,0,v,vw,1,17,4,0.058823529411764705
30.0,1,w,vw,3,3,0,1.0
150.0,1,w,vw,3,7,1,0.42857142857142855
270.0,1,w,vw,3,4,2,0.75
390.0,1,w,vw,1,1,3,1.0
510.0,1,w,vw,1,5,4,0.2
630.0,0,w,vw,0,2,0,0.0
750.0,0,w,vw,1,2,1,0.5
870.0,0,w,vw,3,9,2,0.3333333333333333
990.0,0,w,vw,2,4,3,0.5
1110.0,0,w,vw,0,1,4,0.0
1230.0,1,w,vw,2,6,0,0.3333333333333333
1350.0,1,w,vw,3,7,1,0.42857142857142855
1590.0,1,w,vw,4,12,3,0.3333333333333333
1710.0,1,w,vw,2,10,4,0.2
1830.0,0,w,vw,3,11,0,0.2727272727272727
1950.0,0,w,vw,4,7,1,0.5714285714285714
2070.0,0,w,vw,6,23,2,0.2608695652173913
2190.0,0,w,vw,9,15,3,0.6
2310.0,0,w,vw,4,15,4,0.26666666666666666
